"Date","Close.Last","Company"
2021-05-27,332.75,"META"
2021-05-26,327.66,"META"
2021-05-25,327.79,"META"
2021-05-24,324.63,"META"
2021-05-21,316.23,"META"
2021-05-20,318.61,"META"
2021-05-19,313.59,"META"
2021-05-18,309.96,"META"
2021-05-17,315.46,"META"
2021-05-14,315.94,"META"
2021-05-13,305.26,"META"
2021-05-12,302.55,"META"
2021-05-11,306.53,"META"
2021-05-10,305.97,"META"
2021-05-07,319.08,"META"
2021-05-06,320.02,"META"
2021-05-05,315.02,"META"
2021-05-04,318.36,"META"
2021-05-03,322.58,"META"
2021-04-30,325.08,"META"
2021-04-29,329.51,"META"
2021-04-28,307.1,"META"
2021-04-27,303.57,"META"
2021-04-26,303.04,"META"
2021-04-23,301.13,"META"
2021-04-22,296.52,"META"
2021-04-21,301.47,"META"
2021-04-20,302.65,"META"
2021-04-19,302.24,"META"
2021-04-16,306.18,"META"
2021-04-15,307.82,"META"
2021-04-14,302.82,"META"
2021-04-13,309.76,"META"
2021-04-12,311.54,"META"
2021-04-09,312.46,"META"
2021-04-08,313.02,"META"
2021-04-07,313.09,"META"
2021-04-06,306.26,"META"
2021-04-05,308.91,"META"
2021-04-01,298.66,"META"
2021-03-31,294.53,"META"
2021-03-30,288,"META"
2021-03-29,290.82,"META"
2021-03-26,283.02,"META"
2021-03-25,278.74,"META"
2021-03-24,282.14,"META"
2021-03-23,290.63,"META"
2021-03-22,293.54,"META"
2021-03-19,290.11,"META"
2021-03-18,278.62,"META"
2021-03-17,284.01,"META"
2021-03-16,279.28,"META"
2021-03-15,273.75,"META"
2021-03-12,268.4,"META"
2021-03-11,273.88,"META"
2021-03-10,264.9,"META"
2021-03-09,265.74,"META"
2021-03-08,255.31,"META"
2021-03-05,264.28,"META"
2021-03-04,257.64,"META"
2021-03-03,255.41,"META"
2021-03-02,259,"META"
2021-03-01,264.91,"META"
2021-02-26,257.62,"META"
2021-02-25,254.69,"META"
2021-02-24,264.31,"META"
2021-02-23,265.855,"META"
2021-02-22,260.33,"META"
2021-02-19,261.56,"META"
2021-02-18,269.39,"META"
2021-02-17,273.57,"META"
2021-02-16,273.97,"META"
2021-02-12,270.5,"META"
2021-02-11,270.39,"META"
2021-02-10,271.87,"META"
2021-02-09,269.45,"META"
2021-02-08,266.58,"META"
2021-02-05,268.1,"META"
2021-02-04,266.49,"META"
2021-02-03,266.65,"META"
2021-02-02,267.08,"META"
2021-02-01,262.01,"META"
2021-01-29,258.33,"META"
2021-01-28,265,"META"
2021-01-27,272.14,"META"
2021-01-26,282.05,"META"
2021-01-25,278.01,"META"
2021-01-22,274.5,"META"
2021-01-21,272.87,"META"
2021-01-20,267.48,"META"
2021-01-19,261.1,"META"
2021-01-15,251.36,"META"
2021-01-14,245.64,"META"
2021-01-13,251.64,"META"
2021-01-12,251.09,"META"
2021-01-11,256.84,"META"
2021-01-08,267.57,"META"
2021-01-07,268.74,"META"
